Date,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
8/27/2022,91,1,131,1640574619000,131,1669,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,67,1,124,1567228555000,124,1676,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,13,1,123,1659158266000,123,1677,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,432,1,93,1552716326000,93,1707,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,82,1,83,1567671801000,83,1717,FALSE,0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
8/27/2022,23,7,481987,1660224428000,460387,0,TRUE,0,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
8/27/2022,266,7,343012,1661111092000,321412,0,TRUE,0,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
8/27/2022,238,7,171200,1659023004000,149600,0,FALSE,0,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
8/27/2022,157,6,113628,1658635860000,92028,0,TRUE,3,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
8/27/2022,14,7,104060,1661143532000,82460,0,TRUE,0,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
8/27/2022,122,5,91927,1659539801000,70327,0,FALSE,2,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
8/27/2022,161,7,85893,1654062148000,64293,0,FALSE,0,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
