,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood
197,h0pbUfqGVybyHV8gtfu45LK_u4bxgorFh-4TpaTP1EUhkWru,ttv Tempest,950,I,155,113,False,False,False
198,9_Dlf23BojsHLH-PGkssneTgUyVjmOeA420UH79p6zerCgo,Fanthom,865,I,240,206,True,False,False
199,tQqyWPDAWFI91W45a_YGu_m5VZWw453Qfe6EZWaiHqjqy-8,Wx Mjm978244659,1203,I,232,191,True,False,False
200,EebxOmeiOR7eQ_6PX0wDJE2m5hUx8uhub0xx_I5H1Tjs2sLT65AcGdaVDQ,concede,855,I,338,290,False,False,True
201,ugmQ_1WuhVyY-kY-CPTGvKF4JjougaYat_dX_mGdUZOhGThZ,SkyTec,978,I,240,206,True,False,False
202,HcZJI0AIHWhq7JjE1BlgfyJff6CrHs0CREKWkS7byf7KcPQ,Breezyyy,863,I,500,476,True,False,False
203,JU73-6VpGtLiXstrRiUk_XTgwv9znw_L334itiRpQ_fuvu4,zeyzal7,1373,I,155,91,True,False,False
204,OfKyQuwGlkaJwfCl_MiazEX8TuvCejiQSoKkX2GXm_egy12PKiuAca7tUg,MU APA,1684,I,292,217,True,False,False
205,h_Dhsz3czxlhF-ThVlRmXehuiSbCk2uQrZqSmE8YQi81EWKb0JYi975w5g,SappyMaskSalesmn,979,I,394,329,True,False,False
206,d09OCUuCgkSOBEe9x2OsRN5ONzEoJLOVsLmr9bItt7dn7Zc,AnDa,975,I,277,236,True,False,False
207,9I-CGWqbLXHqkFJF6WydZJG_0_tn1ZlPRIbDo9xSxbL4dB6di7GlQ3q3pQ,June Yongarimin,978,I,148,106,False,False,False
208,7MdYL1q_miZh5Q9qAiiX7SH0f4BZjayRGFh79y6yQN8cgik,Bazz B,1220,I,230,175,False,False,False
209,jwTPHKv55LrAa8NhXqh_aynKkNlutX4ieZftwJkpfoLLF9M,Thats Not Fervor,906,I,200,172,True,False,False
210,aIepDw7MjphTy_vOf3ltqKcsjaxJXwrzLYJWB5Lux7koGMY,Tomo9,910,I,356,315,False,False,True
211,cTsS1KYJLucbeGj84ivtxVUBFRJk-oNR2rf00Ui6pA2jhFU_,Yunqi,957,I,263,221,True,False,False
212,CuyWZ2CkRLW_EATTOXvG4-Vka0pIenB2h1gzYtz2knbdo0U,no draven day 1,1141,I,377,317,False,False,False
213,S-SqNduMlx3HRVEfRJUpu9NKaTpY2-VRtS7FgWfjMxvvhr0,Rathma,883,I,193,155,False,False,False
214,qavRlrNCkkasRuYFqXUaJNJR9HYgZJOOtIgoczAYEDkZ,Ablazeolive,1706,I,256,179,True,False,False
215,1I8EhW9tQtY-rlJGuxMbGGQCV1roD2xpJNLxsjvohINIHMc,Nightmisty,947,I,202,158,False,False,False
216,WhTmQkpuf884I0pja24z6rQZ0t3efRg22PWudwZFvZmFgtVf,popthepenguin,946,I,279,169,False,False,False
217,YlpC1vEH8bJUFTVQeQWi4-0hgMFGdTq18Ko45JwKkTKQ-ElZjpUtGq2RUA,timal,1439,I,203,140,True,False,False
218,Z952dVVd8WfldVm40YvN2Zh3oR-sN5dLyoVSyTe3izbjlCd4,SolNeverDie,1109,I,430,370,True,False,False
219,SxXFLAnxQAqirKYr3Pp3-j2Icag37SJRHLx_s3MqhBqwgZk,ToastyAlex,1240,I,405,345,True,False,False
220,Ahr9RZWRlMhzAA1Cv03brc_--5e0etl_T6IuDFRsWjtHh38,SiddyWiddy1,1200,I,182,125,True,False,False
221,QNIlGGDKzdhoQQh1qyJUSAack7TdpTsk4U400P_BIPp1Bik,Peter Zezima,1149,I,283,227,False,False,False
222,jyv8qnsaJllmbN1cdN4l0RQ-u6QTvWLMBke6JMuUtenXCVM,Augustine,906,I,149,121,False,False,False
223,VBAxCvGe1Bc_k_vVZWjhmXQ2my6BXhjCLKqwXpxR-FcMNfU,Boku Wa Mugen,872,I,289,243,False,False,False
224,9iiBGpMFqEHeU5jq_tkNxjZjMPby28P-G7doaX0pc0LWbuc,zykorocksplutx,898,I,1087,1050,False,False,True
225,QqidyBr1ZUqI1vDdeWEv22zjQ3df3tCJlxBzPyIPpufQioE,I Main Top Lane,842,I,367,327,False,False,True
226,dZvU4OMCmXLyn8b6f3enPIEB08hvX9_DtoVMiVHgCMOeK2A,Laceration,1022,I,398,359,True,False,False
227,pLpFKokvcQu-WEw3HDlybq_8NrK0dGPMGZMLm4cg1iE0y6s,Smoothie,1062,I,324,258,False,False,True
228,FlKpjMaVw_U7bq7zEdk_5u06zd3fu1gVdMjUynS8V2llEpI,Palædin,903,I,152,113,False,False,True
229,nVixiFW3FeEF0hbaAXn2H_0HZsAmRZL-PjxiINEZHPcT1I4h,humzh,872,I,357,326,False,False,True
230,lLIfo0AjIXpdrYZY_PR7Q813PsWTPlDHIQVj0_Q2c5c93aQ,IlllIIIlllIIIll,985,I,196,159,False,False,False
231,ML1h4nKIbINzoe6PUubu7uK-oNXn-bGjEDv43XWNml5u2s0,itzz Wags 2,908,I,443,406,False,False,True
232,8rFIHvzPh1-0ujiVwJcOCiY1NJSnowikFrEqKbE-UC8XWVnz,KidBeatz567,1072,I,389,356,False,False,False
233,9Lho-wzEpSY4z-4Yhs5JTWAjh7fc9JMzaQDWndS_gawyMqL_,SiddyWiddy3,1196,I,223,167,True,False,False
234,PNthkw04V5sH9nl5N7sacckwVSh45IA5MV6wCt5YxazBuK4,adc hunter,1151,I,164,123,True,False,False
235,lGOME09AFHVpnz0do5pEHx1h6LmSNGdGGVea8YN8S_TH8A4H,Livatious,950,I,196,154,False,False,False
237,yYKoBgkE5cZTXqph3kdecnRURSS5dT7hf-FaUJO4ZfB0GIM,TabulaRasaJG,857,I,449,416,False,False,False
238,pj8qbD2fCq90zjD-NkOD4qeMTcQH3G0jVxIJ6wb6Vxx1aD9y,Surround,853,I,625,590,False,False,True
239,khdAL0JvUt6ZSsHvQY29Tim6ZWaH_Y9u0kq4owqBNneSA_A,goth titties,931,I,348,308,True,False,False
240,GXCjixY0OgTBuuhnj9AfL1Ff2a2XGF08SQm5bnyZxgq0tSw,Seranok,977,I,288,256,False,False,True
241,EuCW7qq7JCuh_ETvBtotFsvnYb7PakFxr95A0ngoUoJWpvc,RoseThorn,1475,I,332,262,True,False,False
242,VoPKmo5qamXwkKwtR0AqFcxf-_omHmromuoPI1T-3zDB8vM,Just apart,846,I,362,326,False,False,False
243,ZmSPndQPdTjujMkqmaX_OPU4-bC5CzDSZxJGhkI-VQ04vfA,Objective Bounty,886,I,207,161,False,False,True
244,jTdgUvoMQroyhSxto4QHEdB0yqkLX-JB8jLm9UFePAhFQFY,5fire,883,I,191,156,False,False,False
245,aBK6UWXFSN9MUN2AY0Cn8shMa20qdgucUq3XzzUbAOMZ6eGJai_A9ULTjQ,penq ,881,I,158,118,False,False,True
246,Q4JartL2LRWh2WlMg7E090a752cIqeQU4TNoSkoE7AYAPaJ1,ueotan,841,I,255,208,False,False,False
247,P6Oxlc4wILeLCz9Qq12T5YMkqxf7DVPGjTWbdFuGMwc8dUjN,THE POWERHOUSE,959,I,140,100,False,False,False
